"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","Foundations of Multi-Agent Systems","","4.0","Lecture","30006D","001","5:00-6:50pm","Mon, Wed","25","13","0","Sven Koenig","KAP165"
"CSCI-501","Numerical Analysis and Computation","","3.0 units","Lecture","39694R","001","12:00-12:50pm","MWF","35","16","0","Cymra Haskell","KAP147"
"CSCI-502a","Numerical Analysis","P","3.0 units","Lecture","39698R","001","9:00-9:50am","MWF","20","10","0","Gary Rosen","KAP167"
"CSCI-505b","Applied Probability","P","3.0 units","Lecture","39708R","001","1:00-1:50pm","MWF","20","5","0","Ken Alexander","KAP138"
"CSCI-520","Computer Animation and Simulation","P","4.0 units","Lecture","30230D","048","2:00-3:50pm","Mon, Wed","50","39","0","Jernej Barbic","SSL202"
"CSCI-522","Game Engine Development","","4.0 units","Lecture","30375D","048","7:00-10:20pm","Monday","72","35","0","Artjoms Kovalovs","THH210"
"CSCI-526","Advanced Mobile Devices and Game Consoles","","4.0 units","Lecture","30012D","048","1:00-4:20pm","Tuesday","90","78","0","Scott Easley","SCI108"
"","","","","Lecture","30122R","048","3:00-6:20pm","Wednesday","90","27","0","Scott Easley","SCI108"
"CSCI-529b","Advanced Game Projects","P","2.0 units","Lecture-Lab","30220D","048","2:00-5:20pm","Thursday","40","25","0","Andrew Nealen Matthew Whiting","EGG108"
"CSCI-531","Applied Cryptography","","4.0 units","Lecture","30320D","048","2:00-5:20pm","Wednesday","40","38","0","Tanya Ryutov","OHE100C"
"","","","","Discussion","30031R","048","TBA","","40","38","0","","OFFICE"
"","","","","Lecture","30321D","034","2:00-5:20pm","Wednesday","30","13","0","Tanya Ryutov","DEN@Viterbi"
"","","","","Discussion","30032R","034","TBA","","30","13","0","","DEN@Viterbi"
"CSCI-532","Innovation for Defense Applications","","4.0 units","Lecture","30018D","048","3:30-6:50pm","Thursday","60","51","0","Clifford Neuman","SOSB2"
"CSCI-533","Algebraic Combinatorics","P","3.0 units","Lecture","39757R","001","1:00-1:50pm","MWF","30","8","0","Sami Assaf","KAP140"
"CSCI-534","Affective Computing","","4.0 units","Lecture","29973D","048","2:00-3:50pm","Mon, Wed","40","38","0","Jonathan Gratch","DMC101"
"CSCI-535","Multimodal Probabilistic Learning of Human Communication","","4.0 units","Lecture","30060D","048","5:00-8:20pm","Wednesday","73","71","0","Mohammad Soleymani","SLH200"
"CSCI-536","Linear Programming and Extensions","","4.0 units","Lecture","31536D","048","2:00-5:20pm","Wednesday","35","12","0","Monir Sabbaghtorkan","OHE100B"
"","","","","Lecture","31736D","034","2:00-5:20pm","Wednesday","20","2","0","Monir Sabbaghtorkan","DEN@Viterbi"
"CSCI-544","Applied Natural Language Processing","","4.0 units","Lecture","30063D","048","5:00-6:50pm","Tue, Thu","290","284","0","Xuezhe Ma","THH201"
"CSCI-545","Robotics","","4.0 units","Lecture","30398D","048","4:00-5:50pm","Mon, Wed","60","41","0","Daniel Seita","ZHS352"
"","","","","Lab","30064R","048","4:00-5:50pm","Tuesday","60","41","0","","RTH419"
"CSCI-547","Robot Dynamics and Control","","4.0 units","Lecture","28916R","048","10:00-11:50am","Mon, Wed","34","26","0","Quan Nguyen","KAP148"
"CSCI-550","Advanced Data Stores","P","4.0 units","Lecture","30135D","048","10:00-11:50am","Tue, Thu","98","52","0","Ibrahim Sabek","SOSB2"
"CSCI-554","Cyber-Physical Systems: A Computing Perspective","","4.0 units","Lecture","30665R","048","8:00-9:50am","Mon, Wed","48","31","0","Paul Bogdan","LVL16"
"","","","","Discussion","30662R","048","-","","48","31","0","","TBA"
"","","","","Lab","30663R","048","9:00-10:50am","Friday","48","31","0","","THH118"
"CSCI-555L","Advanced Operating Systems","P","4.0 units","Lecture","29933D","048","2:00-3:50pm","Mon, Wed","31","27","0","Harsha Madhyastha","VPD112"
"","","","","Lab","29935R","048","TBA","","31","27","0","","OFFICE"
"CSCI-557","Computer Systems Architecture","P","4.0 units","Lecture","30820R","048","2:00-3:50pm","Tue, Thu","95","76","0","Murali Annavaram","OHE122"
"","","","","Discussion","30722R","048","3:00-3:50pm","Friday","95","76","0","","OHE122"
"","","","","Lecture","30716D","034","2:00-3:50pm","Tue, Thu","20","6","0","Murali Annavaram","DEN@Viterbi"
"","","","","Discussion","30718D","034","3:00-3:50pm","Friday","20","6","0","","DEN@Viterbi"
"CSCI-559","Machine Learning I: Supervised Methods","","4.0 units","Lecture","30490R","048","4:00-5:50pm","Mon, Wed","115","101","0","Keith Jenkins","OHE122"
"","","","","Lecture","30561D","034","4:00-5:50pm","Mon, Wed","20","9","0","Keith Jenkins","DEN@Viterbi"
"","","","","Discussion","30565R","048","11:00-11:50am","Friday","115","101","0","Keith Jenkins","OHE122"
"","","","","Discussion","30489D","034","11:00-11:50am","Friday","20","9","0","Keith Jenkins","DEN@Viterbi"
"CSCI-561","Foundations of Artificial Intelligence","","4.0 units","Lecture","30071D","048","3:00-4:50pm","Mon, Wed","330","197","0","Laurent Itti","SGM123"
"","","","","Discussion","30070R","048","TBA","","330","197","0","","OFFICE"
"","","","","Quiz","30034R","048","TBA","","330","197","0","","OFFICE"
"","","","","Lecture","29936D","034","3:00-4:50pm","Mon, Wed","30","23","0","Laurent Itti","DEN@Viterbi"
"","","","","Discussion","30030R","034","TBA","","30","23","0","","DEN@Viterbi"
"","","","","Quiz","30035R","034","TBA","","30","23","0","","DEN@Viterbi"
"CSCI-566","Deep Learning and Its Applications","","4.0 units","Lecture","30387D","048","1:00-4:20pm","Friday","290","277","0","Yue Zhao","THH201"
"CSCI-567","Machine Learning","","4.0 units","Lecture","30079D","048","1:00-3:20pm","Friday","210","170","0","Vatsal Sharan","SGM124"
"","","","","Discussion","30081R","048","3:30-4:20pm","Friday","210","170","0","","SGM124"
"","","","","Quiz","30265R","048","TBA","","210","170","0","","OFFICE"
"","","","","Lecture","30213D","034","1:00-3:20pm","Friday","30","8","0","Vatsal Sharan","DEN@Viterbi"
"","","","","Discussion","30264R","034","3:30-4:20pm","Friday","30","8","0","","DEN@Viterbi"
"","","","","Quiz","30266R","034","TBA","","30","8","0","","DEN@Viterbi"
"CSCI-568","Requirements Engineering","P","4.0 units","Lecture","30332R","048","2:00-5:20pm","Monday","45","20","0","Mahdi Eslamimehr","RTH109"
"","","","","Lecture","30334D","034","2:00-5:20pm","Monday","20","8","0","Mahdi Eslamimehr","DEN@Viterbi"
"CSCI-570","Analysis of Algorithms","","4.0 units","Lecture","30395D","048","5:00-7:20pm","Wednesday","330","320","0","Shahriar Shamsian","SGM123"
"","","","","Discussion","30089R","048","7:30-8:20pm","Wednesday","330","320","0","","SGM123"
"","","","","Quiz","30227R","048","5:00-6:50pm","Friday","330","320","0","","TBA"
"","","","","Lecture","30198D","048","5:00-7:20pm","Monday","330","248","0","Shahriar Shamsian","SGM123"
"","","","","Discussion","30290R","048","7:30-8:20pm","Monday","330","248","0","","SGM123"
"","","","","Quiz","30291R","048","5:00-6:50pm","Friday","330","248","0","","TBA"
"","","","","Lecture","30099D","034","5:00-7:20pm","Wednesday","50","39","0","Shahriar Shamsian","DEN@Viterbi"
"","","","","Discussion","29952R","034","7:30-8:20pm","Wednesday","50","39","0","","DEN@Viterbi"
"","","","","Quiz","29953R","034","5:00-6:50pm","Friday","50","39","0","","DEN@Viterbi"
"CSCI-571","Web Technologies","","4.0 units","Lecture","30322D","048","7:30-9:20pm","Tue, Thu","230","226","0","Marco Papa","SGM124"
"","","","","Lecture","30378D","048","5:30-7:20pm","Tue, Thu","230","231","0","Marco Papa","SGM124"
"","","","","Lecture","30016D","034","5:30-7:20pm","Tue, Thu","30","17","0","Marco Papa","DEN@Viterbi"
"CSCI-572","Information Retrieval and Web Search Engines","","4.0 units","Lecture","30210D","034","5:00-8:20pm","Tuesday","50","45","0","Sathyanaraya Raghavachary","DEN@Viterbi"
"","","","","Lecture","30283D","048","5:00-8:20pm","Tuesday","80","76","0","Sathyanaraya Raghavachary","OHE132"
"","","","","Lecture","30370D","048","5:00-8:20pm","Tuesday","330","330","0","Sathyanaraya Raghavachary","SGM123"
"CSCI-575","Quantum Computing and Quantum Cryptography","","4.0 units","Lecture","30278D","048","2:00-3:50pm","Mon, Wed","50","37","0","Ming-Deh Huang","SGM601"
"CSCI-576","Multimedia Systems Design","","4.0 units","Lecture","30319D","048","6:00-9:20pm","Monday","240","87","0","Parag Havaldar","SGM124"
"","","","","Lecture","30082D","034","6:00-9:20pm","Monday","30","11","0","Parag Havaldar","DEN@Viterbi"
"CSCI-578","Software Architectures","","4.0 units","Lecture","30136D","034","2:00-5:20pm","Thursday","25","18","0","Jae Bang","DEN@Viterbi"
"","","","","Lecture","30137D","048","2:00-5:20pm","Thursday","70","65","0","Jae Bang","OHE136"
"CSCI-580","3-D Graphics and Rendering","","4.0 units","Lecture","30390D","048","2:00-3:50pm","Tue, Thu","80","79","0","Sathyanaraya Raghavachary","GFS116"
"","","","","Discussion","29998R","048","TBA","","80","79","0","","OFFICE"
"CSCI-585","Database Systems","C","4.0 units","Lecture","30158D","048","5:00-7:20pm","Thursday","330","281","0","Sathyanaraya Raghavachary","SGM123"
"","","","","Discussion","30194R","048","7:30-8:20pm","Thursday","330","281","0","","SGM123"
"","","","","Quiz","30156R","048","3:00-4:50pm","Friday","330","281","0","","TBA"
"","","","","Lecture","30149D","034","5:00-7:20pm","Thursday","50","21","0","Sathyanaraya Raghavachary","DEN@Viterbi"
"","","","","Discussion","30146R","034","7:30-8:20pm","Thursday","50","21","0","","DEN@Viterbi"
"","","","","Quiz","30157R","034","3:00-4:50pm","Friday","50","21","0","","DEN@Viterbi"
"CSCI-590","Directed Research","","1.0-12.0 units","Lecture","30162D","048","TBA","","100","15","0","Barath Raghavan","OFFICE"
"CSCI-591","Computer Science Research Colloquium","","1.0 units, max 2","Lecture","30076D","048","10:00-11:20am","Mon, Wed","80","28","0","Nenad Medvidovic","OHE132"
"","","","","Lecture","30222D","048","10:00-11:20am","Tue, Thu","75","65","0","Nenad Medvidovic","OHE136"
"","","","","Lecture","30223D","034","10:00-11:20am","Tue, Thu","30","14","0","Nenad Medvidovic","DEN@Viterbi"
"CSCI-593","Mathematical Foundations for System Design: Modeling, Analys","","4.0 units","Lecture","30773R","048","4:00-5:50pm","Tue, Thu","30","4","0","Pierluigi Nuzzo","LVL13"
"","","","","Lab","30800R","048","12:00-12:50pm","Wednesday","30","4","0","","OFFICE"
"CSCI-594a","Master's Thesis","","2.0 units","Lecture","30168D","048","TBA","","25","2","0","","OFFICE"
"CSCI-594b","Master's Thesis","P","2.0 units","Lecture","30169D","048","TBA","","25","1","0","","OFFICE"
"CSCI-594z","Master's Thesis","P","0.0 units","Lecture","30170D","048","TBA","","25","0","0","","OFFICE"
"CSCI-599","Special Topics","","2.0-4.0 units, max 9"
"","Introduction to Holodecks","","4.0","Lecture","30010R","048","5:00-6:50pm","Mon, Wed","25","9","0","Shahram Ghandeharizadeh","GFS213"
"","Geometric Shape Modeling","","4.0","Lecture","30015R","048","3:30-5:20pm","Tue, Thu","25","13","0","Oded Stein","GFS228"
"","Autonomous Decision-Making","","4.0","Lecture","30026D","048","5:00-6:50pm","Tue, Thu","25","23","0","Thomy Phan","KAP166"
"","3D Vision","","4.0","Lecture","30041D","048","5:00-6:50pm","Tue, Thu","28","25","0","Yajie Zhao","SOSB52"
"","Introduction to Networked Systems for Cloud Computing","","4.0","Lecture","30044D","048","4:00-5:50pm","Mon, Wed","15","11","0","Ramesh Govindan","KAP147"
"","Software Engineering for Security","","4.0","Lecture","30279R","048","1:00-4:20pm","Friday","25","9","0","Weihang Wang","GFS109"
"CSCI-625","Program Synthesis and Computer-Aided Verification","","4.0 units","Lecture","30093R","048","3:30-5:20pm","Mon, Wed","25","7","0","Mukund Raghothaman","DMC209"
"CSCI-641","Computational Human-Robot Interaction","","4.0 units","Lecture","30203D","048","8:00-9:50am","Mon, Wed","30","12","0","Stefanos Nikolaidis","VHE206"
"CSCI-644","Natural Language Dialogue Systems","","4.0 units","Lecture","30007D","048","1:00-4:20pm","Wednesday","25","16","0","Kallirroi Georgila David Traum","THHB9"
"CSCI-655","Advanced Topics in Operating Systems","P","4.0 units","Lecture","30233D","048","2:00-3:50pm","Mon, Wed","5","3","0","Harsha Madhyastha","VPD112"
"CSCI-656","Networked Systems in Cloud Computing","P","4.0 units","Lecture","30363D","048","4:00-5:50pm","Mon, Wed","20","9","0","Ramesh Govindan","KAP147"
"CSCI-658","Diagnosis and Design of Reliable Digital Systems","","4.0 units","Lecture","30883R","048","11:00-2:50pm","Saturday","40","16","0","Moe Tabar","KAP158"
"CSCI-670","Advanced Analysis of Algorithms","PC","4.0 units","Lecture","30313D","048","10:00-11:50am","Mon, Wed","74","61","0","Ming-Deh Huang","LVL17"
"CSCI-697","Seminar in Computer Science Research","MC","1.0 units, max 2","Lecture","30176D","048","12:00-12:50pm","Monday","90","80","0","Barath Raghavan","SGM101"
"CSCI-698","Practicum in Teaching Computer Science","MC","1.0 units, max 2","Lecture","30209D","048","1:00-1:50pm","Monday","90","80","0","Andrew Goodney","SLH200"
"CSCI-699","Special Topics","C","2.0-4.0 units, max 8"
"","User Experience - Methods of Research and Analysis","","4.0","Lecture","29962D","048","3:00-6:20pm","Monday","20","15","0","Souti Chattopadhyay","THH106"
"","Safe Learning-Enabled Autonomous Systems","","4.0","Lecture","30049D","048","5:00-6:50pm","Mon, Wed","25","11","0","Lars Lindemann","GFS221"
"","Machine Learning in Databases","","4.0","Lecture","30092D","048","5:00-6:50pm","Mon, Wed","25","8","0","Cyrus Shahabi","GFS220"
"","Theory and Algorithms for Formal Verification","","4.0","Lecture","30106R","048","3:00-6:20pm","Monday","25","8","0","Jyotirmoy Deshmukh","DMC151"
"","History of Language and Computing","","4.0","Lecture","30126D","048","5:00-6:50pm","Mon, Wed","25","19","0","Jesse Thomason","KAP113"
"","Information Theoretical Lower Bounds","","4.0","Lecture","30134D","048","3:30-6:50pm","Thursday","25","14","0","Jiapeng Zhang","SOSB48"
"","Machine Learning in Healthcare and Biomedicine","","4.0","Lecture","30164D","048","5:00-6:50pm","Tue, Thu","25","23","0","Ruishan Liu","GFS221"
"CSCI-790","Research","","1.0-12.0 units","Lecture","30208D","048","TBA","","250","171","0","Emilio Ferrara","OFFICE"
"CSCI-794a","Doctoral Dissertation","C","2.0 units","Lecture","30214D","048","TBA","","50","19","0","","OFFICE"
"CSCI-794b","Doctoral Dissertation","PC","2.0 units","Lecture","30215D","048","TBA","","50","19","0","","OFFICE"
"CSCI-794c","Doctoral Dissertation","PC","2.0 units","Lecture","30216D","048","TBA","","50","14","0","","OFFICE"
"CSCI-794d","Doctoral Dissertation","PC","2.0 units","Lecture","30217D","048","TBA","","50","16","0","","OFFICE"
"CSCI-794z","Doctoral Dissertation","PC","0.0 units","Lecture","30218D","048","TBA","","60","52","0","","OFFICE"
